date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BOYLE SPORTS, BETSSON ,BET FRED,BET STARS,LAD BROKES,BETFAIR SPORT, * SMARKETS,COMEON,BETWAY,10BET, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-09,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.95,1.83,1.83,1.85,1.83,1.83,1.8,1.83,1.96,1.83,2,1.83,1.83,1.8,2.04
2023-04-09,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.5,4.3,5,4.5,4.5,5,4.5,5,5,5.8,4,5,4,5,5,6.2
2023-04-09,3,Ukraine,Tvorchi - Heart of Steel,10%,7,8,7.5,7.5,7,8,7,6.5,6,6,8,6.5,9,6.5,6,7.5,10
2023-04-09,4,Norway,Alessandra - Queen of Kings,6%,13,11,13,12,13,12,13,13,15,13,17,13,13,13,13,13,19
2023-04-09,5,Spain,Blanca Paloma - Eaea,5%,13,18,15,23,17,15,17,17,13,17,17,13,13,13,17,15,18
2023-04-09,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,21,25,21,26,21,21,27,21,29,21,21,19,38
2023-04-09,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,29,31,31,29,26,25,26,26,29,31,32,29,26,29,29,26,38
2023-04-09,8,Czechia,Vesna - My Sister's Crown,2%,31,34,41,34,34,30,26,23,29,23,40,26,29,26,26,34,42
2023-04-09,9,France,La Zarra - Évidemment,2%,29,41,36,34,34,30,41,26,34,26,38,34,34,34,26,51,42
2023-04-09,10,United Kingdom,Mae Muller - I Wrote A Song,2%,46,67,61,41,34,60,41,41,34,31,46,34,34,34,26,30,60
2023-04-09,11,Italy,Marco Mengoni - Due vite,1%,67,51,61,67,51,60,51,67,51,67,110,51,67,51,67,51,120
2023-04-09,12,Armenia,Brunette - Future Lover,1%,71,67,81,101,81,80,67,67,67,67,95,67,67,67,67,67,120
2023-04-09,13,Switzerland,Remo Forrer - Watergun,1%,126,101,81,126,81,100,67,101,81,81,270,81,81,81,67,101,210
2023-04-09,14,Georgia,Iru - Echo,1%,126,101,101,151,101,100,101,101,67,81,270,81,101,81,67,67,350
2023-04-09,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,126,100,101,101,151,126,140,101,151,101,151,101,160
2023-04-09,16,Serbia,Luke Black - Samo mi se spava,1%,151,101,126,151,101,125,101,151,81,101,210,101,101,101,101,101,160
2023-04-09,17,Croatia,Let 3 - Mama ŠČ!,1%,151,126,126,201,101,150,101,151,101,101,260,101,101,101,101,101,250
2023-04-09,18,Australia,Voyager - Promise,1%,151,151,101,151,126,150,101,101,151,101,270,101,126,101,101,101,240
2023-04-09,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,126,101,151,126,150,101,151,101,101,270,101,126,101,101,101,250
2023-04-09,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,126,151,126,150,201,151,101,101,260,151,151,151,101,101,280
2023-04-09,21,Slovenia,Joker Out - Carpe Diem,<1%,201,126,151,201,201,200,201,151,101,126,270,101,101,101,126,101,250
2023-04-09,22,Estonia,Alika - Bridges,<1%,201,151,126,201,151,150,201,201,201,151,280,151,201,151,151,101,300
2023-04-09,23,Ireland,Wild Youth - We Are One,<1%,251,351,301,301,81,250,201,151,151,91,280,151,201,151,101,101,740
2023-04-09,24,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,151,201,201,200,201,201,201,201,280,201,201,201,251,101,310
2023-04-09,25,Poland,Blanka - Solo,<1%,251,251,251,251,151,150,201,201,201,201,280,201,151,201,201,101,440
2023-04-09,26,Iceland,Diljá - Power,<1%,251,251,201,251,201,150,201,201,201,201,290,201,151,201,201,101,740
2023-04-09,27,Portugal,Mimicat - Ai Coração,<1%,251,251,251,301,251,250,201,201,201,151,290,201,201,201,151,101,600
2023-04-09,28,Denmark,Reiley - Breaking My Heart,<1%,251,276,251,301,251,250,201,201,201,201,290,201,201,201,201,101,840
2023-04-09,29,Greece,Victor Vernicos - What They Say,<1%,251,301,251,301,251,250,201,201,201,201,280,201,201,201,251,101,710
2023-04-09,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,301,301,501,251,250,201,251,201,251,290,151,151,151,251,101,1000
2023-04-09,31,Belgium,Gustaph - Because of You,<1%,251,351,301,301,251,250,201,251,201,201,290,251,251,251,201,101,1000
2023-04-09,32,Malta,The Busker - Dance (Our Own Party),<1%,251,351,301,501,251,250,201,251,201,201,290,201,251,201,201,101,1000
2023-04-09,33,Lithuania,Monika Linkytė - Stay,<1%,251,251,251,501,251,250,201,251,201,251,280,251,251,251,251,101,820
2023-04-09,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,351,301,501,251,250,201,251,251,151,290,251,301,251,151,101,1000
2023-04-09,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,201,251,251,251,290,251,201,251,251,101,1000
2023-04-09,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,201,251,251,201,290,251,301,251,201,301,1000
2023-04-09,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,301,501,251,300,201,251,251,251,290,251,301,251,251,301,1000
